run,package,name,workers,chunksize,frequency,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,cache_hits,cache_misses
0,kerchunk,open,100,4,3hr,6.218879222869873,1697729,673307,761,644,0,0,0,0,,
0,kerchunk,locate,100,4,3hr,0.002284526824951172,208,208,4,4,0,0,0,0,,
0,kerchunk,load,100,4,3hr,829.1653044223785,22723156950,571263226,3417503,1535537,0,0,0,0,,
0,pyfive,open,100,4,3hr,1.2693145275115967,2529343,1461999,710,431,0,0,0,0,1.0,1.0
0,pyfive,locate,100,4,3hr,14.110989332199097,10075198,8989258,4669,3594,0,0,0,0,1.0,3.0
0,pyfive,load,100,4,3hr,428.5608706474304,22969266196,642765805,8484749,3937137,0,0,0,0,1.0,3.0
1,kerchunk,open,100,4,3hr,1.0296964645385742,1039334,11953,204,147,0,0,0,0,,
1,kerchunk,locate,100,4,3hr,0.004499912261962891,0,0,0,0,0,0,0,0,,
1,kerchunk,load,100,4,3hr,815.8175661563873,22806262347,657753024,3407878,1575735,0,0,0,0,,
1,pyfive,open,100,4,3hr,1.235346794128418,1073535,11261,206,138,0,0,0,0,1.0,1.0
1,pyfive,locate,100,4,3hr,14.250265836715698,1416609,344849,1879,1868,0,0,0,0,1.0,3.0
1,pyfive,load,100,4,3hr,365.73852276802063,22583779480,235416454,8326126,3490494,0,0,0,0,1.0,3.0
2,kerchunk,open,100,4,3hr,0.3375113010406494,1038806,9949,194,115,0,0,0,0,,
2,kerchunk,locate,100,4,3hr,0.004223823547363281,0,0,0,0,0,0,0,0,,
2,kerchunk,load,100,4,3hr,829.6211607456207,22573852703,420553627,3382877,1503645,0,0,0,0,,
2,pyfive,open,100,4,3hr,1.241715908050537,2524467,1461084,670,455,0,0,0,0,1.0,1.0
2,pyfive,locate,100,4,3hr,13.92769479751587,17417413,16303548,7128,4978,0,0,0,0,1.0,3.0
2,pyfive,load,100,4,3hr,373.4428346157074,22879820422,549285281,8437879,3835713,0,0,0,0,1.0,3.0
3,kerchunk,open,100,4,3hr,3.681145191192627,4993304,4294644,1668,1147,0,0,0,0,,
3,kerchunk,locate,100,4,3hr,0.0029485225677490234,0,0,0,0,0,0,0,0,,
3,kerchunk,load,100,4,3hr,817.0162525177002,22901073074,751147963,3436879,1583147,0,0,0,0,,
3,pyfive,open,100,4,3hr,1.2606053352355957,1809779,1006433,548,321,0,0,0,0,1.0,1.0
3,pyfive,locate,100,4,3hr,13.746996641159058,15950194,14162392,6403,4436,0,0,0,0,1.0,3.0
3,pyfive,load,100,4,3hr,374.28748655319214,22893102808,554503813,8472853,3738694,0,0,0,0,1.0,3.0
4,kerchunk,open,100,4,3hr,1.149576187133789,2159586,680942,507,352,0,0,0,0,,
4,kerchunk,locate,100,4,3hr,0.0029735565185546875,264,0,4,0,0,0,0,0,,
4,kerchunk,load,100,4,3hr,801.8013186454773,22502564471,359272055,3252407,1518806,0,0,0,0,,
4,pyfive,open,100,4,3hr,1.2985954284667969,1484065,422992,446,340,0,0,0,0,1.0,1.0
4,pyfive,locate,100,4,3hr,13.275528192520142,5683668,4619671,3866,3481,0,0,0,0,1.0,3.0
4,pyfive,load,100,4,3hr,366.28121733665466,22676931935,332537063,8423836,3630415,0,0,0,0,1.0,3.0
0,kerchunk,open,100,4,Amon,0.31783461570739746,40285,9034,44,32,0,0,0,0,,
0,kerchunk,locate,100,4,Amon,0.0025815963745117188,208,208,4,4,0,0,0,0,,
0,kerchunk,load,100,4,Amon,7.073441505432129,455280401,2491160,73551,36177,0,0,0,0,,
0,kerchunk,open,101,4,Amon,0.4650435447692871,1452589,13946,259,205,0,0,0,0,,
0,kerchunk,locate,101,4,Amon,0.0019903182983398438,0,0,0,0,0,0,0,0,,
0,kerchunk,load,101,4,Amon,60.56393241882324,419553150,14823340,130657,32008,0,0,0,0,,
0,pyfive,open,100,4,Amon,0.3960602283477783,1802734,742045,450,338,0,0,0,0,1.0,1.0
0,pyfive,locate,100,4,Amon,0.5412399768829346,27723,9169,65,60,0,0,0,0,1.0,3.0
0,pyfive,load,100,4,Amon,8.037660598754883,462429340,6330165,158592,78263,0,0,0,0,1.0,3.0
1,kerchunk,open,100,4,Amon,0.2219223976135254,38731,4089,34,25,0,0,0,0,,
1,kerchunk,locate,100,4,Amon,0.002760648727416992,0,0,0,0,0,0,0,0,,
1,kerchunk,load,100,4,Amon,6.516901969909668,455986087,3129427,73919,34771,0,0,0,0,,
1,kerchunk,open,101,4,Amon,0.3587040901184082,1454469,13702,286,193,0,0,0,0,,
1,kerchunk,locate,101,4,Amon,0.0025873184204101562,0,246,0,3,0,0,0,0,,
1,kerchunk,load,101,4,Amon,59.14372515678406,647275176,15752641,157912,53245,0,0,0,0,,
1,pyfive,open,100,4,Amon,0.400860071182251,4085549,52466,704,462,0,0,0,0,1.0,1.0
1,pyfive,locate,100,4,Amon,0.5226321220397949,2252080,32483,438,282,0,0,0,0,1.0,3.0
1,pyfive,load,100,4,Amon,8.101050615310669,562685554,9163229,181070,104477,0,0,0,0,1.0,3.0
2,kerchunk,open,100,4,Amon,0.2185351848602295,2208693,28787,374,246,0,0,0,0,,
2,kerchunk,locate,100,4,Amon,0.0026848316192626953,57944,460,10,4,0,0,0,0,,
2,kerchunk,load,100,4,Amon,6.768772840499878,532384301,3957940,88808,43051,0,0,0,0,,
2,kerchunk,open,101,4,Amon,0.36976027488708496,9486033,206493,1465,1068,0,0,0,0,,
2,kerchunk,locate,101,4,Amon,0.0018591880798339844,0,0,0,0,0,0,0,0,,
2,kerchunk,load,101,4,Amon,59.589614391326904,1178930565,20690322,251378,112164,0,0,0,0,,
2,pyfive,open,100,4,Amon,0.39835476875305176,5536625,57637,861,593,0,0,0,0,1.0,1.0
2,pyfive,locate,100,4,Amon,0.8485636711120605,7592988,812596,1371,938,0,0,0,0,1.0,3.0
2,pyfive,load,100,4,Amon,8.245400428771973,568927622,8830255,182098,109634,0,0,0,0,1.0,3.0
0,kerchunk,open,100,4,day,5.126788854598999,632551,19096,219,163,0,0,0,0,,
0,kerchunk,locate,100,4,day,0.0025076866149902344,0,0,0,0,0,0,0,0,,
0,kerchunk,load,100,4,day,379.87788343429565,13887130581,59975385,1953373,888885,0,0,0,0,,
0,pyfive,open,100,4,day,1.0057251453399658,1073830,12485,208,154,0,0,0,0,1.0,1.0
0,pyfive,locate,100,4,day,8.081616401672363,885474,209393,1050,1029,0,0,0,0,1.0,3.0
0,pyfive,load,100,4,day,223.49117612838745,14107634566,135303515,5290783,1985216,0,0,0,0,1.0,3.0
1,kerchunk,open,100,4,day,0.7567493915557861,627683,9882,160,114,0,0,0,0,,
1,kerchunk,locate,100,4,day,0.0029354095458984375,0,0,0,0,0,0,0,0,,
1,kerchunk,load,100,4,day,364.1486711502075,13881585092,60513895,1864388,897681,0,0,0,0,,
1,pyfive,open,100,4,day,0.9739720821380615,1073213,11543,198,139,0,0,0,0,1.0,1.0
1,pyfive,locate,100,4,day,7.46114706993103,1113051,442770,1228,1189,0,0,0,0,1.0,3.0
